customer ID,full name,gender,age,state,job classification,date joined,balance,marital status,education,houseloan,otherloan,contact,poutcome,loan default
A034,Lance  Yates,Male,26,California,Other,30.Jan.2017,"$8,705.42 ",single,tertiary,yes,no,cellular,unknown,yes
A035,Arturo  Francis,Female,34,California,Blue Collar,31.Jan.2017,"$116,132.24 ",married,tertiary,no,no,cellular,unknown,yes
A036,Lula  Daniels,Female,36,California,White Collar,31.Jan.2017,"$47,283.10 ",divorced,secondary,yes,no,unknown,unknown,no
A037,Bethany  Pena,Female,33,California,White Collar,31.Jan.2017,"$30,602.06 ",divorced,primary,no,no,telephone,unknown,yes
A038,Robert  Munoz,Male,31,California,Other,31.Jan.2017,"$8,488.61 ",married,secondary,yes,no,cellular,unknown,yes
A039,Shari  Silva,Male,35,Nevada,Blue Collar,31.Jan.2017,"$19,175.52 ",married,secondary,yes,no,cellular,failure,yes
A040,Cindy  Becker,Male,59,Nevada,Other,31.Jan.2017,"$170,828.72 ",single,tertiary,yes,no,unknown,unknown,no
A041,Guillermo  Potter,Male,27,California,Blue Collar,01.Feb.2017,"$76,733.75 ",single,tertiary,yes,no,unknown,failure,no
A042,Sandra  Floyd,Female,35,California,White Collar,01.Feb.2017,"$14,469.72 ",single,tertiary,no,no,cellular,unknown,no
A043,Billie  Chandler,Male,49,Nevada,Blue Collar,01.Feb.2017,"$170,179.43 ",married,secondary,yes,no,cellular,unknown,no
A044,Isabel  Cross,Female,22,Oregon,Other,01.Feb.2017,"$160,786.69 ",married,tertiary,yes,no,cellular,unknown,no
A045,Bernadette  Page,Female,53,California,Other,03.Feb.2017,"$4,316.72 ",single,tertiary,yes,no,cellular,unknown,no
A046,Andrew  Meyer,Female,47,Nevada,Other,03.Feb.2017,"$81,475.55 ",single,tertiary,yes,no,unknown,unknown,no
A047,Lee  Mack,Female,32,Nevada,Other,03.Feb.2017,"$88,806.93 ",married,primary,no,no,telephone,other,no
A048,Bobbie  Ryan,Female,19,Oregon,Other,08.Feb.2017,"$21,398.25 ",married,primary,yes,no,unknown,unknown,no
A049,Trevor  Jones,Male,27,California,White Collar,12.Feb.2017,"$35,702.84 ",single,primary,yes,yes,cellular,unknown,no
A050,Eric  Rose,Male,39,California,White Collar,12.Feb.2017,"$58,258.43 ",married,unknown,yes,no,cellular,success,yes
A051,Donna  Reid,Female,29,California,Blue Collar,12.Feb.2017,"$2,090.21 ",divorced,primary,no,no,unknown,unknown,yes
A052,Ivan  Adkins,Female,31,California,Blue Collar,12.Feb.2017,"$62,127.25 ",single,secondary,yes,no,cellular,unknown,no
A053,Billie  Chandler,Female,37,California,Other,12.Feb.2017,"$70,971.21 ",single,secondary,no,no,cellular,unknown,no
A054,Jenny  Garcia,Female,32,California,White Collar,12.Feb.2017,"$36,099.99 ",married,tertiary,yes,no,cellular,other,yes
A055,Andrew  Meyer,Male,24,California,White Collar,12.Feb.2017,"$7,330.18 ",married,secondary,yes,no,cellular,unknown,no
A056,Brooke  Horton,Male,40,California,White Collar,12.Feb.2017,"$87,149.94 ",married,secondary,yes,no,telephone,unknown,no
A057,Max  Rodgers,Female,33,California,Blue Collar,12.Feb.2017,"$86,616.27 ",married,secondary,no,yes,telephone,unknown,no
A058,Eric  Rose,Male,44,California,White Collar,12.Feb.2017,"$53,477.93 ",single,tertiary,no,no,cellular,unknown,no
A059,Rachel  Gomez,Male,39,California,Other,12.Feb.2017,"$2,804.27 ",single,secondary,yes,yes,unknown,unknown,no
A060,Max  Rodgers,Male,47,California,White Collar,12.Feb.2017,"$34,887.43 ",divorced,secondary,yes,yes,unknown,unknown,no
A061,Robert  Munoz,Female,35,California,White Collar,12.Feb.2017,"$6,843.64 ",married,primary,no,yes,telephone,unknown,no
A062,Don  Gonzales,Female,47,California,Other,12.Feb.2017,"$30,351.96 ",married,secondary,yes,no,cellular,unknown,no
A063,Cecilia  Manning,Male,47,California,White Collar,12.Feb.2017,"$33,453.64 ",married,tertiary,no,no,cellular,unknown,no
A064,Cindy  Becker,Female,39,California,White Collar,12.Feb.2017,"$60,155.60 ",married,secondary,no,no,cellular,unknown,no
A065,Brooke  Horton,Female,50,Nevada,Other,12.Feb.2017,"$27,000.55 ",married,secondary,no,no,cellular,unknown,no
A066,Ivan  Adkins,Male,43,Nevada,Blue Collar,12.Feb.2017,"$29,963.90 ",divorced,secondary,yes,no,cellular,failure,no
A067,Christina  Fuller,Male,47,Nevada,Blue Collar,12.Feb.2017,"$7,909.67 ",married,secondary,yes,no,cellular,unknown,no
A068,Peter  Hodges,Male,61,Nevada,Blue Collar,12.Feb.2017,"$10,688.72 ",married,secondary,yes,no,cellular,unknown,no
A069,Ben  Perez,Male,53,Nevada,Blue Collar,12.Feb.2017,"$53,358.78 ",married,secondary,no,yes,cellular,unknown,no
A070,Andrew  Meyer,Male,45,Nevada,Other,12.Feb.2017,"$22,407.12 ",single,tertiary,no,no,cellular,unknown,no
A071,Peter  Hodges,Male,49,Nevada,Blue Collar,12.Feb.2017,"$104,537.99 ",married,tertiary,no,no,cellular,success,yes
A072,Billie  Chandler,Female,51,Nevada,Other,12.Feb.2017,"$53,636.40 ",divorced,tertiary,yes,no,unknown,unknown,no
A073,Robert  Munoz,Female,36,Wyoming,White Collar,12.Feb.2017,"$61,852.40 ",single,tertiary,yes,no,unknown,unknown,no
A074,Salvador  Bass,Male,45,Wyoming,Other,12.Feb.2017,"$54,770.04 ",married,tertiary,yes,no,unknown,unknown,no
A075,Salvador  Bass,Female,30,Oregon,White Collar,12.Feb.2017,$29.91 ,married,secondary,yes,no,unknown,unknown,no
A076,Bobbie  Ryan,Male,44,Nevada,Blue Collar,24.Feb.2017,"$86,920.39 ",divorced,tertiary,no,no,cellular,unknown,no
A077,Andrew  Meyer,Male,38,California,White Collar,09.Mar.2017,"$42,549.96 ",divorced,secondary,yes,no,cellular,other,no
A078,Drew  Rogers,Female,36,California,Other,10.Mar.2017,"$57,782.78 ",single,secondary,no,yes,cellular,unknown,no
A079,Isabel  Cross,Female,23,Wyoming,Blue Collar,15.Mar.2017,"$10,999.30 ",divorced,primary,no,no,cellular,unknown,no
A080,Della  Jensen,Male,34,California,White Collar,16.Mar.2017,$364.88 ,married,secondary,yes,no,cellular,failure,no
A081,Lorraine  Gibson,Female,36,California,White Collar,16.Mar.2017,"$89,454.87 ",divorced,secondary,yes,no,cellular,unknown,yes
A082,Shari  Silva,Male,20,California,White Collar,16.Mar.2017,"$17,348.31 ",married,primary,no,no,cellular,unknown,no
A083,Drew  Rogers,Male,31,California,Blue Collar,16.Mar.2017,"$13,948.76 ",single,secondary,yes,yes,cellular,unknown,no
A084,Iris  Underwood,Male,42,California,White Collar,16.Mar.2017,"$65,327.43 ",married,secondary,no,no,telephone,failure,yes
A085,Drew  Rogers,Female,38,California,White Collar,16.Mar.2017,"$94,986.87 ",married,tertiary,no,no,cellular,unknown,yes
A086,Jenny  Garcia,Male,39,California,White Collar,16.Mar.2017,"$34,074.76 ",married,primary,yes,no,unknown,unknown,no
A087,Lorraine  Gibson,Male,41,California,Other,16.Mar.2017,"$7,232.21 ",single,secondary,no,yes,cellular,unknown,no
A088,Elaine  Ellis,Female,24,California,White Collar,16.Mar.2017,"$106,821.69 ",single,primary,yes,no,unknown,unknown,no
A089,Eric  Rose,Female,24,California,White Collar,16.Mar.2017,"$63,296.87 ",married,secondary,yes,no,cellular,unknown,no
A090,Isabel  Cross,Female,35,California,White Collar,16.Mar.2017,"$6,259.07 ",married,secondary,yes,no,unknown,unknown,no
A091,Billie  Chandler,Male,35,California,White Collar,16.Mar.2017,"$112,854.76 ",married,primary,no,no,cellular,unknown,no
A092,Woodrow  Colon,Female,26,California,White Collar,16.Mar.2017,"$42,665.81 ",married,primary,yes,no,unknown,unknown,no
A093,Edwin  Malone,Male,23,California,White Collar,16.Mar.2017,"$21,937.40 ",single,secondary,yes,no,cellular,unknown,yes
A094,Paulette  Spencer,Female,38,California,Other,16.Mar.2017,"$65,721.30 ",single,tertiary,no,no,cellular,unknown,no
A095,Cassandra  Franklin,Female,30,California,White Collar,16.Mar.2017,"$82,157.25 ",married,secondary,no,no,cellular,unknown,no
A096,Allan  Ramos,Male,28,California,White Collar,16.Mar.2017,"$100,713.46 ",single,tertiary,no,no,cellular,unknown,no
A097,Eric  Rose,Female,38,California,Blue Collar,16.Mar.2017,"$92,372.93 ",married,tertiary,yes,no,unknown,unknown,no
A098,Cassandra  Franklin,Female,36,California,White Collar,16.Mar.2017,"$2,133.75 ",single,tertiary,no,no,cellular,failure,no
A099,Della  Jensen,Male,40,Nevada,Blue Collar,16.Mar.2017,"$8,143.09 ",divorced,secondary,no,no,cellular,success,no
A0100,Shari  Silva,Female,56,Nevada,Other,16.Mar.2017,"$19,776.54 ",single,primary,no,no,cellular,unknown,yes
A0101,Austin  Reynolds,Male,51,Nevada,Blue Collar,16.Mar.2017,"$177,632.66 ",married,secondary,yes,no,unknown,unknown,no
A0102,Dan  Peterson,Female,44,Nevada,White Collar,16.Mar.2017,"$28,102.69 ",single,tertiary,yes,no,cellular,failure,no
A0103,Elbert  Klein,Female,55,Nevada,White Collar,16.Mar.2017,"$53,638.88 ",married,secondary,no,no,telephone,unknown,no
A0104,Nellie  Joseph,Female,57,Nevada,Other,16.Mar.2017,"$33,858.22 ",single,primary,yes,no,telephone,unknown,no
A0105,Robert  Munoz,Male,48,Nevada,White Collar,16.Mar.2017,"$127,025.51 ",single,secondary,no,no,unknown,unknown,no
A0106,Herman  Williams,Female,54,Nevada,Other,16.Mar.2017,"$67,122.45 ",single,tertiary,yes,no,cellular,failure,no
A0107,Cassandra  Franklin,Male,36,Nevada,Blue Collar,16.Mar.2017,"$18,829.03 ",married,secondary,yes,yes,unknown,unknown,no
A0108,Woodrow  Colon,Male,48,Nevada,Blue Collar,16.Mar.2017,"$35,686.39 ",married,tertiary,yes,no,cellular,unknown,no
A0109,Willie  Vega,Male,63,Nevada,Other,16.Mar.2017,"$109,642.87 ",married,primary,no,no,cellular,unknown,yes
A0110,Cassandra  Franklin,Male,63,Nevada,Blue Collar,16.Mar.2017,"$39,512.30 ",married,primary,yes,no,cellular,unknown,no
A0111,Lorraine  Gibson,Female,25,Wyoming,Other,16.Mar.2017,"$105,669.63 ",single,secondary,no,no,cellular,success,yes
A0112,Christina  Fuller,Male,26,Wyoming,White Collar,16.Mar.2017,"$30,786.06 ",married,tertiary,yes,no,telephone,unknown,no
A0113,Ivan  Adkins,Male,29,Oregon,White Collar,16.Mar.2017,"$122,729.15 ",married,secondary,yes,yes,cellular,unknown,no
A0114,Brooke  Horton,Female,18,Oregon,Other,16.Mar.2017,"$76,373.58 ",single,secondary,no,no,cellular,failure,no
A0115,Robert  Munoz,Female,43,Oregon,Blue Collar,16.Mar.2017,"$56,549.84 ",single,secondary,no,no,telephone,unknown,yes
A0116,Robert  Munoz,Female,36,California,Other,19.Mar.2017,"$32,545.24 ",single,secondary,no,yes,cellular,unknown,yes
A0117,Edwin  Malone,Female,40,California,Other,25.Mar.2017,"$18,529.12 ",married,secondary,yes,no,cellular,unknown,no
A0118,Tracy  Reed,Male,52,Nevada,Other,28.Mar.2017,"$101,017.81 ",single,secondary,no,yes,cellular,unknown,no
A0119,Rachel  Gomez,Female,18,California,White Collar,31.Mar.2017,"$50,034.96 ",married,primary,no,no,cellular,unknown,no
A0120,Elbert  Klein,Female,31,California,White Collar,31.Mar.2017,"$203,536.40 ",divorced,tertiary,no,no,unknown,unknown,no
A0121,Lynette  Brewer,Male,37,California,White Collar,31.Mar.2017,"$58,445.31 ",divorced,secondary,yes,no,cellular,unknown,no
A0122,Kyle  Carr,Male,25,California,Other,31.Mar.2017,"$5,577.78 ",married,primary,no,no,cellular,unknown,no
A0123,Max  Rodgers,Male,50,California,White Collar,31.Mar.2017,"$64,527.19 ",married,secondary,yes,no,unknown,unknown,no
A0124,Carla  Mccormick,Male,39,California,Other,01.Apr.2017,"$165,893.25 ",married,secondary,no,yes,cellular,unknown,no
A0125,Fernando  Rowe,Male,27,California,White Collar,01.Apr.2017,"$18,375.37 ",single,tertiary,yes,no,cellular,failure,no
A0126,Jaime  Pearson,Male,42,California,White Collar,01.Apr.2017,"$83,075.39 ",single,tertiary,no,no,cellular,unknown,yes
A0127,Max  Rodgers,Female,27,California,White Collar,01.Apr.2017,"$15,642.52 ",single,secondary,no,no,unknown,unknown,no
A0128,Della  Jensen,Female,41,California,White Collar,01.Apr.2017,"$6,487.76 ",single,secondary,no,yes,cellular,unknown,no
A0129,Donna  Reid,Male,47,California,White Collar,01.Apr.2017,"$22,525.45 ",single,secondary,no,no,telephone,failure,no
A0130,Robert  Munoz,Female,27,California,White Collar,01.Apr.2017,"$41,399.67 ",divorced,tertiary,no,no,cellular,unknown,yes
A0131,Cindy  Becker,Female,41,California,White Collar,01.Apr.2017,"$41,128.49 ",married,primary,yes,no,cellular,unknown,no
A0132,Max  Rodgers,Male,20,California,Blue Collar,01.Apr.2017,"$14,295.01 ",married,primary,yes,no,unknown,unknown,no
A0133,Cindy  Becker,Female,38,California,White Collar,02.Apr.2017,"$60,382.06 ",married,unknown,yes,no,unknown,unknown,no
A0134,Robert  Munoz,Male,34,California,Blue Collar,02.Apr.2017,"$66,780.97 ",married,unknown,yes,no,cellular,failure,no
A0135,Jenny  Garcia,Male,42,California,White Collar,02.Apr.2017,"$84,554.58 ",single,secondary,yes,no,unknown,unknown,no
A0136,Pauline  Beck,Male,26,California,White Collar,02.Apr.2017,"$19,392.82 ",single,tertiary,no,no,cellular,unknown,no
A0137,Max  Rodgers,Female,43,California,White Collar,02.Apr.2017,"$62,994.73 ",single,secondary,yes,yes,cellular,failure,no
A0138,Cindy  Becker,Male,37,California,White Collar,02.Apr.2017,"$15,975.01 ",single,tertiary,no,no,cellular,unknown,no
A0139,Rachel  Gomez,Female,40,California,White Collar,02.Apr.2017,"$85,282.21 ",married,tertiary,yes,no,cellular,unknown,yes
A0140,Lorraine  Gibson,Male,57,Nevada,Blue Collar,02.Apr.2017,"$60,461.75 ",married,unknown,no,no,unknown,unknown,no
A0141,Billie  Chandler,Female,45,California,White Collar,03.Apr.2017,"$54,601.82 ",divorced,tertiary,no,no,cellular,unknown,no
A0142,Lee  Mack,Male,23,California,White Collar,03.Apr.2017,"$15,296.37 ",single,tertiary,yes,no,cellular,unknown,no
A0143,Dan  Peterson,Male,45,California,Other,03.Apr.2017,"$60,266.15 ",divorced,unknown,yes,no,unknown,unknown,no
A0144,Robert  Munoz,Male,26,California,White Collar,03.Apr.2017,"$6,773.51 ",single,tertiary,yes,no,cellular,unknown,no
A0145,Eric  Rose,Male,37,California,White Collar,04.Apr.2017,"$133,014.82 ",married,secondary,yes,yes,unknown,unknown,no
A0146,Christina  Fuller,Male,41,California,White Collar,05.Apr.2017,"$77,174.34 ",married,tertiary,no,yes,cellular,unknown,no
A0147,Jenny  Garcia,Male,33,California,White Collar,05.Apr.2017,"$7,372.88 ",married,primary,no,yes,unknown,unknown,no
A0148,Ellen  Weaver,Female,37,California,White Collar,05.Apr.2017,"$72,246.18 ",married,secondary,yes,no,cellular,unknown,no
A0149,Eric  Rose,Male,33,California,White Collar,05.Apr.2017,"$48,456.88 ",married,secondary,yes,no,cellular,other,no
A0150,Jaime  Pearson,Female,29,California,White Collar,05.Apr.2017,"$5,999.28 ",single,unknown,yes,no,unknown,unknown,no
A0151,Marian  Hill,Male,33,California,White Collar,05.Apr.2017,"$7,700.42 ",married,unknown,yes,no,unknown,unknown,no
A0152,Blake  Bridges,Male,32,California,White Collar,05.Apr.2017,"$76,978.94 ",single,tertiary,yes,yes,cellular,unknown,no
A0153,Robert  Munoz,Female,36,California,White Collar,05.Apr.2017,"$85,102.87 ",divorced,primary,yes,yes,unknown,unknown,no
A0154,Sandra  Floyd,Male,46,California,White Collar,05.Apr.2017,"$85,618.40 ",married,secondary,no,no,cellular,unknown,no
A0155,Cindy  Becker,Male,33,California,Blue Collar,05.Apr.2017,"$2,171.06 ",married,secondary,no,no,unknown,unknown,no
A0156,Austin  Reynolds,Male,24,California,Other,05.Apr.2017,"$54,112.25 ",divorced,secondary,no,no,cellular,unknown,no
A0157,Elvira  Bowman,Male,32,California,White Collar,05.Apr.2017,"$37,203.58 ",married,secondary,no,no,cellular,success,yes
A0158,Jenny  Garcia,Male,26,California,White Collar,05.Apr.2017,"$1,505.52 ",married,secondary,yes,no,cellular,failure,no
A0159,Salvador  Bass,Male,30,California,White Collar,05.Apr.2017,"$32,642.45 ",single,secondary,no,no,cellular,unknown,no
A0160,Cassandra  Franklin,Male,38,California,White Collar,05.Apr.2017,"$11,346.19 ",married,secondary,yes,no,cellular,unknown,no
A0161,Ben  Perez,Female,42,California,White Collar,05.Apr.2017,"$3,486.58 ",married,tertiary,no,no,unknown,unknown,no
A0162,Robert  Munoz,Female,36,California,Other,05.Apr.2017,"$91,852.00 ",single,secondary,yes,no,unknown,unknown,no
A0163,Lance  Yates,Female,39,California,White Collar,05.Apr.2017,"$6,148.76 ",single,secondary,no,yes,unknown,unknown,no
A0164,Beth  Tucker,Female,59,Nevada,Other,05.Apr.2017,"$100,781.91 ",married,secondary,yes,yes,unknown,unknown,no
A0165,Cecilia  Manning,Male,52,Nevada,Blue Collar,05.Apr.2017,"$6,523.87 ",single,tertiary,no,no,cellular,failure,yes
A0166,Patty  Thompson,Male,51,Nevada,Blue Collar,05.Apr.2017,"$15,266.63 ",single,secondary,yes,no,unknown,unknown,no
A0167,Robert  Munoz,Male,24,Wyoming,Blue Collar,05.Apr.2017,"$28,453.22 ",married,secondary,no,no,telephone,unknown,no
A0168,Elaine  Ellis,Female,30,Wyoming,White Collar,05.Apr.2017,"$46,038.55 ",divorced,secondary,yes,no,cellular,unknown,no
A0169,Isabel  Cross,Male,39,California,Blue Collar,06.Apr.2017,"$106,560.70 ",married,tertiary,no,no,unknown,unknown,no
A0170,Shari  Silva,Female,32,California,Other,06.Apr.2017,"$4,910.15 ",single,secondary,yes,yes,cellular,unknown,no
A0171,Sandra  Floyd,Male,38,California,White Collar,06.Apr.2017,"$19,671.99 ",married,secondary,no,no,unknown,unknown,no
A0172,Shari  Silva,Male,42,California,Blue Collar,06.Apr.2017,"$93,913.88 ",single,tertiary,no,no,cellular,unknown,no
A0173,Trevor  Jones,Female,26,California,White Collar,06.Apr.2017,"$139,332.75 ",single,secondary,yes,yes,cellular,other,no
A0174,Robert  Munoz,Female,31,California,White Collar,06.Apr.2017,"$68,772.72 ",married,secondary,yes,no,cellular,unknown,no
A0175,Brooke  Horton,Male,31,California,White Collar,06.Apr.2017,"$23,859.15 ",married,tertiary,no,no,cellular,unknown,no
A0176,Mable  Lindsey,Female,25,California,White Collar,06.Apr.2017,"$40,871.43 ",married,secondary,yes,yes,cellular,unknown,no
A0177,Drew  Rogers,Male,35,California,White Collar,06.Apr.2017,"$104,997.51 ",married,secondary,yes,yes,cellular,unknown,no
A0178,Sonya  Mullins,Male,33,California,Blue Collar,06.Apr.2017,"$90,667.24 ",married,secondary,yes,no,cellular,failure,no
A0179,Jenny  Garcia,Male,24,California,Blue Collar,06.Apr.2017,"$78,897.46 ",married,unknown,no,no,unknown,unknown,no
A0180,Brooke  Horton,Male,29,Oregon,Blue Collar,06.Apr.2017,"$30,620.18 ",married,tertiary,yes,no,cellular,failure,no
A0181,Jenny  Garcia,Female,32,California,White Collar,07.Apr.2017,"$148,963.51 ",single,tertiary,yes,yes,cellular,unknown,no
A0182,Iris  Underwood,Male,36,California,White Collar,07.Apr.2017,"$31,694.39 ",single,secondary,no,yes,cellular,unknown,no
A0183,Tiffany  May,Male,31,California,White Collar,07.Apr.2017,"$172,107.28 ",single,secondary,yes,no,cellular,unknown,no
A0184,Kyle  Carr,Male,33,California,Other,07.Apr.2017,"$120,244.60 ",divorced,secondary,no,no,unknown,unknown,no
A0185,Salvador  Bass,Male,40,California,Other,07.Apr.2017,"$31,866.28 ",married,secondary,yes,no,unknown,unknown,no
A0186,Kyle  Carr,Female,51,Nevada,Other,07.Apr.2017,"$87,989.31 ",married,tertiary,yes,no,cellular,unknown,no
A0187,Dan  Peterson,Female,46,California,White Collar,08.Apr.2017,"$60,722.99 ",married,tertiary,yes,no,telephone,success,no
A0188,Max  Rodgers,Female,29,California,White Collar,08.Apr.2017,"$33,819.24 ",single,secondary,yes,no,cellular,other,no
A0189,Edwin  Malone,Female,40,California,White Collar,08.Apr.2017,"$14,074.70 ",married,secondary,yes,no,cellular,failure,no
A0190,Robert  Munoz,Female,25,California,Other,08.Apr.2017,"$87,632.34 ",married,secondary,yes,no,cellular,unknown,yes
A0191,Elbert  Klein,Male,51,Nevada,Blue Collar,08.Apr.2017,"$1,848.67 ",married,primary,yes,yes,telephone,unknown,no
A0192,Isabel  Cross,Male,39,California,White Collar,09.Apr.2017,"$72,231.61 ",married,secondary,yes,no,cellular,unknown,no
A0193,Sandra  Floyd,Female,44,California,Other,10.Apr.2017,"$18,331.81 ",single,tertiary,no,no,cellular,unknown,no
A0194,Cassandra  Franklin,Male,40,California,White Collar,10.Apr.2017,"$43,776.75 ",married,secondary,no,no,unknown,unknown,no
A0195,Drew  Rogers,Female,35,California,White Collar,10.Apr.2017,"$24,461.37 ",single,secondary,no,no,cellular,unknown,no
A0196,Cassandra  Franklin,Female,32,California,White Collar,10.Apr.2017,"$130,153.24 ",divorced,secondary,yes,no,cellular,unknown,no
A0197,Trevor  Jones,Male,38,California,Blue Collar,11.Apr.2017,"$4,687.48 ",single,secondary,yes,no,unknown,unknown,no
A0198,Rachel  Gomez,Male,29,California,White Collar,11.Apr.2017,"$3,430.25 ",married,secondary,no,yes,cellular,unknown,no
A0199,Della  Jensen,Female,31,California,Blue Collar,11.Apr.2017,"$65,912.04 ",married,tertiary,no,no,cellular,unknown,no
A0200,Billie  Chandler,Female,47,California,White Collar,11.Apr.2017,"$135,623.69 ",married,secondary,no,no,telephone,success,yes
A0201,Guillermo  Potter,Male,34,California,Other,12.Apr.2017,"$56,692.78 ",single,tertiary,yes,no,cellular,success,no
A0202,Donna  Reid,Female,37,California,White Collar,12.Apr.2017,"$81,536.40 ",married,secondary,no,no,cellular,unknown,no
A0203,Salvador  Bass,Female,40,California,White Collar,12.Apr.2017,"$90,518.70 ",single,tertiary,yes,no,cellular,failure,yes
A0204,Brooke  Horton,Female,26,California,White Collar,12.Apr.2017,"$28,198.81 ",divorced,tertiary,yes,no,cellular,failure,no
A0205,Allan  Ramos,Female,25,California,Blue Collar,12.Apr.2017,"$118,809.51 ",single,tertiary,no,no,telephone,unknown,yes
A0206,Isabel  Cross,Female,36,California,White Collar,12.Apr.2017,"$162,725.10 ",single,tertiary,yes,no,cellular,unknown,no
A0207,Woodrow  Colon,Male,41,California,White Collar,12.Apr.2017,"$110,443.85 ",married,secondary,yes,yes,cellular,unknown,no
A0208,Robert  Munoz,Male,39,California,White Collar,12.Apr.2017,"$5,572.01 ",married,secondary,yes,no,cellular,failure,no
A0209,Sandra  Floyd,Male,39,California,Blue Collar,12.Apr.2017,"$34,807.97 ",single,secondary,yes,no,cellular,failure,no
A0210,Della  Jensen,Male,44,Nevada,Blue Collar,12.Apr.2017,"$96,240.55 ",married,secondary,no,no,cellular,unknown,no
A0211,Cecilia  Manning,Male,39,California,White Collar,13.Apr.2017,"$78,364.43 ",single,secondary,yes,no,cellular,unknown,no
